,Unnamed: 0.1,Unnamed: 0,rate,attraction,reviews,details,attraction_url,reviews_url,languages,location_img,ratings_list,path
0,0,0,4.5,1. Jardin Majorelle,"52,038",Gardens,/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,"[{'language': 'Norwegian', 'count': 74}, {'language': 'German', 'count': 2125}, {'language': 'Russian', 'count': 292}, {'language': 'Finnish', 'count': 21}, {'language': 'Portuguese', 'count': 1410}, {'language': 'Chinese (Traditional)', 'count': 127}, {'language': 'French', 'count': 17704}, {'language': 'Hungarian', 'count': 25}, {'language': 'Slovak', 'count': 15}, {'language': 'Serbian', 'count': 2}, {'language': 'Chinese (Simplified)', 'count': 135}, {'language': 'Swedish', 'count': 201}, {'language': 'Korean', 'count': 27}, {'language': 'Greek', 'count': 83}, {'language': 'English', 'count': 20738}, {'language': 'Italian', 'count': 3512}, {'language': 'Hebrew', 'count': 12}, {'language': 'Spanish (Spain)', 'count': 3796}, {'language': 'Czech', 'count': 24}, {'language': 'Arabic', 'count': 33}, {'language': 'Vietnamese', 'count': 1}, {'language': 'Thai', 'count': 2}, {'language': 'Japanese', 'count': 187}, {'language': 'Polish', 'count': 114}, {'language': 'Danish', 'count': 167}, {'language': 'Dutch', 'count': 1346}, {'language': 'Turkish', 'count': 86}, {'language': 'All languages', 'count': 52265}]",blob:https://www.tripadvisor.com/31d67675-1856-413d-884a-9979d2b9f527,"[{'rating': 'Excellent', 'count': 28441}, {'rating': 'Very good', 'count': 14602}, {'rating': 'Average', 'count': 6532}, {'rating': 'Poor', 'count': 1676}, {'rating': 'Terrible', 'count': 818}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
1,1,1,4.0,2. Medina of Marrakesh,"19,355",Historic Sites • Points of Interest & Landmarks,/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,"[{'language': 'Norwegian', 'count': 48}, {'language': 'German', 'count': 861}, {'language': 'Russian', 'count': 148}, {'language': 'Finnish', 'count': 9}, {'language': 'Portuguese', 'count': 837}, {'language': 'Chinese (Traditional)', 'count': 85}, {'language': 'French', 'count': 3888}, {'language': 'Hungarian', 'count': 15}, {'language': 'Slovak', 'count': 1}, {'language': 'Serbian', 'count': 1}, {'language': 'Chinese (Simplified)', 'count': 87}, {'language': 'Swedish', 'count': 79}, {'language': 'Korean', 'count': 19}, {'language': 'Greek', 'count': 57}, {'language': 'English', 'count': 8517}, {'language': 'Italian', 'count': 1561}, {'language': 'Hebrew', 'count': 9}, {'language': 'Spanish (Spain)', 'count': 2309}, {'language': 'Czech', 'count': 20}, {'language': 'Arabic', 'count': 35}, {'language': 'Thai', 'count': 1}, {'language': 'Japanese', 'count': 147}, {'language': 'Polish', 'count': 71}, {'language': 'Danish', 'count': 55}, {'language': 'Dutch', 'count': 593}, {'language': 'Turkish', 'count': 57}, {'language': 'All languages', 'count': 19514}]",Not Detected,"[{'rating': 'Excellent', 'count': 9379}, {'rating': 'Very good', 'count': 6347}, {'rating': 'Average', 'count': 2243}, {'rating': 'Poor', 'count': 688}, {'rating': 'Terrible', 'count': 707}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
2,2,2,4.5,3. Bahia Palace,"14,243",Historic Sites • Architectural Buildings,/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html,"[{'language': 'Norwegian', 'count': 17}, {'language': 'German', 'count': 604}, {'language': 'Russian', 'count': 128}, {'language': 'Finnish', 'count': 8}, {'language': 'Portuguese', 'count': 617}, {'language': 'Chinese (Traditional)', 'count': 106}, {'language': 'French', 'count': 4099}, {'language': 'Hungarian', 'count': 13}, {'language': 'Slovak', 'count': 3}, {'language': 'Serbian', 'count': 3}, {'language': 'Chinese (Simplified)', 'count': 119}, {'language': 'Swedish', 'count': 42}, {'language': 'Korean', 'count': 9}, {'language': 'Greek', 'count': 35}, {'language': 'English', 'count': 5420}, {'language': 'Italian', 'count': 1094}, {'language': 'Hebrew', 'count': 12}, {'language': 'Spanish (Spain)', 'count': 1433}, {'language': 'Czech', 'count': 13}, {'language': 'Arabic', 'count': 10}, {'language': 'Japanese', 'count': 81}, {'language': 'Polish', 'count': 64}, {'language': 'Danish', 'count': 50}, {'language': 'Dutch', 'count': 437}, {'language': 'Turkish', 'count': 36}, {'language': 'All languages', 'count': 14460}]",blob:https://www.tripadvisor.com/d264e00a-b58f-4e88-a4d6-dd7945d44c8c,"[{'rating': 'Excellent', 'count': 6549}, {'rating': 'Very good', 'count': 5366}, {'rating': 'Average', 'count': 1896}, {'rating': 'Poor', 'count': 348}, {'rating': 'Terrible', 'count': 98}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
3,3,3,5.0,4. Sahara Tours 4x4,"2,361",Safaris,/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html,"[{'language': 'Chinese (Simplified)', 'count': 108}, {'language': 'German', 'count': 60}, {'language': 'Finnish', 'count': 1}, {'language': 'Portuguese', 'count': 18}, {'language': 'Korean', 'count': 46}, {'language': 'Greek', 'count': 1}, {'language': 'Chinese (Traditional)', 'count': 103}, {'language': 'English', 'count': 1515}, {'language': 'Italian', 'count': 55}, {'language': 'French', 'count': 58}, {'language': 'Spanish (Spain)', 'count': 526}, {'language': 'Arabic', 'count': 1}, {'language': 'Japanese', 'count': 10}, {'language': 'Danish', 'count': 1}, {'language': 'Dutch', 'count': 11}, {'language': 'Turkish', 'count': 1}, {'language': 'All languages', 'count': 2516}]",blob:https://www.tripadvisor.com/117b28a0-db10-4ef2-b456-4b9e87283e74,"[{'rating': 'Excellent', 'count': 2299}, {'rating': 'Very good', 'count': 58}, {'rating': 'Average', 'count': 6}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
4,4,4,5.0,5. Herbalism Marrakech,394,Department Stores,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html,"[{'language': 'Norwegian', 'count': 2}, {'language': 'German', 'count': 5}, {'language': 'Portuguese', 'count': 15}, {'language': 'English', 'count': 271}, {'language': 'Italian', 'count': 22}, {'language': 'French', 'count': 70}, {'language': 'Dutch', 'count': 1}, {'language': 'Hebrew', 'count': 1}, {'language': 'Spanish (Spain)', 'count': 17}, {'language': 'Serbian', 'count': 1}, {'language': 'All languages', 'count': 405}]",blob:https://www.tripadvisor.com/d2774962-0ad9-4edc-9f3f-392adbb99e4a,"[{'rating': 'Excellent', 'count': 395}, {'rating': 'Very good', 'count': 7}, {'rating': 'Average', 'count': 1}, {'rating': 'Poor', 'count': 1}, {'rating': 'Terrible', 'count': 1}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
5,5,5,5.0,6. Morocco Excursions,795,Safaris,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html,"[{'language': 'Chinese (Simplified)', 'count': 12}, {'language': 'Norwegian', 'count': 1}, {'language': 'German', 'count': 14}, {'language': 'Swedish', 'count': 1}, {'language': 'Russian', 'count': 1}, {'language': 'Portuguese', 'count': 17}, {'language': 'Greek', 'count': 7}, {'language': 'Chinese (Traditional)', 'count': 11}, {'language': 'English', 'count': 668}, {'language': 'Italian', 'count': 40}, {'language': 'French', 'count': 16}, {'language': 'Hebrew', 'count': 5}, {'language': 'Spanish (Spain)', 'count': 23}, {'language': 'Japanese', 'count': 7}, {'language': 'Polish', 'count': 2}, {'language': 'Danish', 'count': 1}, {'language': 'Dutch', 'count': 1}, {'language': 'All languages', 'count': 827}]",blob:https://www.tripadvisor.com/1a245bdf-910d-42ea-a1df-7fdd13d25dc8,"[{'rating': 'Excellent', 'count': 762}, {'rating': 'Very good', 'count': 31}, {'rating': 'Average', 'count': 2}, {'rating': 'Poor', 'count': 2}, {'rating': 'Terrible', 'count': 1}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
6,6,6,5.0,7. Arib Voyages Day Tours,934,Safaris,/Attraction_Review-g293734-d1997615-Reviews-Arib_Voyages_Day_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1997615-Reviews-Arib_Voyages_Day_Tours-Marrakech_Marrakech_Safi.html,"[{'language': 'Norwegian', 'count': 1}, {'language': 'German', 'count': 43}, {'language': 'Swedish', 'count': 3}, {'language': 'Portuguese', 'count': 2}, {'language': 'Japanese', 'count': 1}, {'language': 'English', 'count': 545}, {'language': 'Italian', 'count': 33}, {'language': 'French', 'count': 302}, {'language': 'Danish', 'count': 6}, {'language': 'Dutch', 'count': 28}, {'language': 'Spanish (Spain)', 'count': 2}, {'language': 'All languages', 'count': 966}]",blob:https://www.tripadvisor.com/6e513d99-c067-4fd3-8983-981379c27b1b,"[{'rating': 'Excellent', 'count': 916}, {'rating': 'Very good', 'count': 31}, {'rating': 'Average', 'count': 1}, {'rating': 'Poor', 'count': 3}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
7,7,7,5.0,8. Book Desert Tours,512,Safaris,/Attraction_Review-g293734-d23972193-Reviews-Book_Desert_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d23972193-Reviews-Book_Desert_Tours-Marrakech_Marrakech_Safi.html,"[{'language': 'Portuguese', 'count': 1}, {'language': 'English', 'count': 423}, {'language': 'Italian', 'count': 2}, {'language': 'French', 'count': 6}, {'language': 'Spanish (Spain)', 'count': 80}, {'language': 'All languages', 'count': 512}]",Not Detected,"[{'rating': 'Excellent', 'count': 512}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Marrakech > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
8,8,8,5.0,9. Centre D'art Le Real Mogador,148,Art Galleries • Points of Interest & Landmarks,/Attraction_Review-g298349-d16966310-Reviews-Centre_D_art_Le_Real_Mogador-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d16966310-Reviews-Centre_D_art_Le_Real_Mogador-Essaouira_Marrakech_Safi.html,"[{'language': 'German', 'count': 8}, {'language': 'Russian', 'count': 2}, {'language': 'Portuguese', 'count': 1}, {'language': 'English', 'count': 38}, {'language': 'Italian', 'count': 3}, {'language': 'Polish', 'count': 2}, {'language': 'French', 'count': 84}, {'language': 'Spanish (Spain)', 'count': 10}, {'language': 'All languages', 'count': 148}]",blob:https://www.tripadvisor.com/d8dfe8d0-8313-48ea-8d73-d89cd35282be,"[{'rating': 'Excellent', 'count': 137}, {'rating': 'Very good', 'count': 10}, {'rating': 'Average', 'count': 1}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Essaouira > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
9,9,9,5.0,10. Jarjeer Mules,150,Nature & Wildlife Areas,/Attraction_Review-g2314506-d2691064-Reviews-Jarjeer_Mules-Oumnass_Marrakech_Safi.html,/Attraction_Review-g2314506-d2691064-Reviews-Jarjeer_Mules-Oumnass_Marrakech_Safi.html,"[{'language': 'Japanese', 'count': 1}, {'language': 'English', 'count': 144}, {'language': 'French', 'count': 3}, {'language': 'Dutch', 'count': 3}, {'language': 'All languages', 'count': 151}]",blob:https://www.tripadvisor.com/f7452bc4-998b-464a-af3d-d145857bd13b,"[{'rating': 'Excellent', 'count': 151}, {'rating': 'Very good', 'count': 0}, {'rating': 'Average', 'count': 0}, {'rating': 'Poor', 'count': 0}, {'rating': 'Terrible', 'count': 0}]",Oumnass > Hotels > Things to Do > Restaurants > Flights > Vacation Rentals > Cruises > Rental Cars > Forums
