,rate,attraction,reviews,details,attraction_url,reviews_url,uuid
0,4.3,1. Jardin Majorelle,Reviews not found,Details not found,/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d477277-Reviews-Jardin_Majorelle-Marrakech_Marrakech_Safi.html,07e08b14-cd10-408f-a776-e05717795ff9
1,4.2,2. Medina of Marrakesh,Reviews not found,Details not found,/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d324126-Reviews-Medina_of_Marrakesh-Marrakech_Marrakech_Safi.html,539e951a-6770-485b-b6f5-868e18e0eaae
2,4.2,3. Bahia Palace,Reviews not found,Details not found,/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d610173-Reviews-Bahia_Palace-Marrakech_Marrakech_Safi.html,529d0b69-3228-4c97-8598-cb196b16d026
3,3.6,4. Jemaa el-Fnaa,Reviews not found,Details not found,/Attraction_Review-g293734-d318047-Reviews-Jemaa_el_Fnaa-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318047-Reviews-Jemaa_el_Fnaa-Marrakech_Marrakech_Safi.html,6e10aabf-c7fb-4170-96ce-b9220dce3fae
4,4.4,5. Medersa Ben Youssef,Reviews not found,Details not found,/Attraction_Review-g293734-d308902-Reviews-Medersa_Ben_Youssef-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d308902-Reviews-Medersa_Ben_Youssef-Marrakech_Marrakech_Safi.html,abcd9c52-5d42-434c-be9e-db1d0867c749
5,4.5,6. Cascades d'Ouzoud,Reviews not found,Details not found,/Attraction_Review-g293734-d555781-Reviews-Cascades_d_Ouzoud-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d555781-Reviews-Cascades_d_Ouzoud-Marrakech_Marrakech_Safi.html,54c4bde0-5c5a-4b79-a261-591d820d1025
6,4.4,7. Le Jardin Secret,Reviews not found,Details not found,/Attraction_Review-g293734-d10124874-Reviews-Le_Jardin_Secret-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d10124874-Reviews-Le_Jardin_Secret-Marrakech_Marrakech_Safi.html,571577b9-9226-4f47-8a59-759eecc7969f
7,5,8. Sahara Tours 4x4,Reviews not found,Details not found,/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d2353510-Reviews-Sahara_Tours_4x4-Marrakech_Marrakech_Safi.html,1b32c2fb-e30a-4406-bf6d-7cf50e1f29f3
8,4.1,9. Koutoubia Mosque,Reviews not found,Details not found,/Attraction_Review-g293734-d318046-Reviews-Koutoubia_Mosque-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318046-Reviews-Koutoubia_Mosque-Marrakech_Marrakech_Safi.html,e07cc3d3-27ba-4ecf-9f38-a59d11c66f93
9,4,10. El Badi Palace,Reviews not found,Details not found,/Attraction_Review-g293734-d318037-Reviews-El_Badi_Palace-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318037-Reviews-El_Badi_Palace-Marrakech_Marrakech_Safi.html,2b8c4335-326c-428f-adb5-ddc0a028a8d8
10,4.3,11. Musée Yves Saint Laurent Marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d12994921-Reviews-Musee_Yves_Saint_Laurent_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d12994921-Reviews-Musee_Yves_Saint_Laurent_Marrakech-Marrakech_Marrakech_Safi.html,c7288592-2f18-4ca9-aec7-bb8f0fd0be28
11,4.7,12. ANIMA André Heller Garden,Reviews not found,Details not found,/Attraction_Review-g293734-d10213421-Reviews-ANIMA_Andre_Heller_Garden-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d10213421-Reviews-ANIMA_Andre_Heller_Garden-Marrakech_Marrakech_Safi.html,021f5851-38e6-4aa8-825e-289e6e5f6011
12,4.5,13. Maison de la Photographie,Reviews not found,Details not found,/Attraction_Review-g293734-d1675171-Reviews-Maison_de_la_Photographie-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1675171-Reviews-Maison_de_la_Photographie-Marrakech_Marrakech_Safi.html,fb613f9e-6e76-4b19-93db-1188729036df
13,3.7,14. Gueliz,Reviews not found,Details not found,/Attraction_Review-g293734-d318058-Reviews-Gueliz-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318058-Reviews-Gueliz-Marrakech_Marrakech_Safi.html,1f65df6c-e68b-402f-9fdb-c5ecab4e24d8
14,4.1,15. Essaouira Beach,Reviews not found,Details not found,/Attraction_Review-g298349-d480529-Reviews-Essaouira_Beach-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d480529-Reviews-Essaouira_Beach-Essaouira_Marrakech_Safi.html,7f187094-161b-4ecd-95fc-0737f4f1bcf2
15,3.8,16. Saadian Tombs,Reviews not found,Details not found,/Attraction_Review-g293734-d318040-Reviews-Saadian_Tombs-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318040-Reviews-Saadian_Tombs-Marrakech_Marrakech_Safi.html,86ba0202-be74-4909-ad5c-51faf43c8bcb
16,3.3,17. Ourika Valley,Reviews not found,Details not found,/Attraction_Review-g1847424-d479067-Reviews-Ourika_Valley-Ourika_Marrakech_Safi.html,/Attraction_Review-g1847424-d479067-Reviews-Ourika_Valley-Ourika_Marrakech_Safi.html,1a7eae7c-5731-4f17-8eb9-733c56763df6
17,3.9,18. Oasiria,Reviews not found,Details not found,/Attraction_Review-g293734-d1466973-Reviews-Oasiria-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1466973-Reviews-Oasiria-Marrakech_Marrakech_Safi.html,20f8532b-00a8-45ef-9c24-7847bba5e5ab
18,4.9,19. Herbalism Marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d25386907-Reviews-Herbalism_Marrakech-Marrakech_Marrakech_Safi.html,5279d90b-ce21-4029-bfd0-5367609d25ad
19,4.5,20. Essaouira Ramparts,Reviews not found,Details not found,/Attraction_Review-g298349-d479062-Reviews-Essaouira_Ramparts-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d479062-Reviews-Essaouira_Ramparts-Essaouira_Marrakech_Safi.html,6de067d4-eeee-4e46-a2f2-0852949fc58d
20,4.9,21. Morocco Excursions,Reviews not found,Details not found,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d6105931-Reviews-Morocco_Excursions-Marrakech_Marrakech_Safi.html,15227498-3285-4f41-8a19-924a6b3b12ac
21,5,22. Arib Voyages Day Tours,Reviews not found,Details not found,/Attraction_Review-g293734-d1997615-Reviews-Arib_Voyages_Day_Tours-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1997615-Reviews-Arib_Voyages_Day_Tours-Marrakech_Marrakech_Safi.html,59f39399-ff22-4438-93e2-e3171f174c32
22,4.5,23. Dar El Bacha - Musee des Confluences,Reviews not found,Details not found,/Attraction_Review-g293734-d13378052-Reviews-Dar_El_Bacha_Musee_des_Confluences-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d13378052-Reviews-Dar_El_Bacha_Musee_des_Confluences-Marrakech_Marrakech_Safi.html,489dce30-93c6-4813-b126-ddb79e966d2e
23,4.4,24. Essaouira Fishing Port,Reviews not found,Details not found,/Attraction_Review-g298349-d479064-Reviews-Essaouira_Fishing_Port-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d479064-Reviews-Essaouira_Fishing_Port-Essaouira_Marrakech_Safi.html,4fb856f9-58f7-425d-abd4-74b9a6d24abc
24,3.9,25. Medina of Essaouira,Reviews not found,Details not found,/Attraction_Review-g298349-d324133-Reviews-Medina_of_Essaouira-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d324133-Reviews-Medina_of_Essaouira-Essaouira_Marrakech_Safi.html,46267f0b-bad7-4108-b6ef-6e07493945f2
25,3.9,26. Mellah,Reviews not found,Details not found,/Attraction_Review-g293734-d478122-Reviews-Mellah-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d478122-Reviews-Mellah-Marrakech_Marrakech_Safi.html,f67700b1-ed4f-48f5-86d2-00039737a877
26,4.8,27. Le Paradis du Safran,Reviews not found,Details not found,/Attraction_Review-g1847424-d5062613-Reviews-Le_Paradis_du_Safran-Ourika_Marrakech_Safi.html,/Attraction_Review-g1847424-d5062613-Reviews-Le_Paradis_du_Safran-Ourika_Marrakech_Safi.html,03da8a6f-dce4-4cad-bda8-830814fede50
27,4.3,28. Le Souk Essaouira,Reviews not found,Details not found,/Attraction_Review-g298349-d1233797-Reviews-Le_Souk_Essaouira-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d1233797-Reviews-Le_Souk_Essaouira-Essaouira_Marrakech_Safi.html,099cf298-a78f-4daf-84d7-26bb92690944
28,4.3,29. Marrakech Train Station,Reviews not found,Details not found,/Attraction_Review-g293734-d1382960-Reviews-Marrakech_Train_Station-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d1382960-Reviews-Marrakech_Train_Station-Marrakech_Marrakech_Safi.html,2304a721-accd-4987-93fe-b9a832af9479
29,4.2,30. Cyber Parc Arsat Moulay Abdeslam,Reviews not found,Details not found,/Attraction_Review-g293734-d656363-Reviews-Cyber_Parc_Arsat_Moulay_Abdeslam-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d656363-Reviews-Cyber_Parc_Arsat_Moulay_Abdeslam-Marrakech_Marrakech_Safi.html,d36ceaa5-3d36-486f-b804-22262a0853b4
30,4.9,31. Cheval Essaouira,Reviews not found,Details not found,/Attraction_Review-g298349-d14069341-Reviews-Cheval_Essaouira-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d14069341-Reviews-Cheval_Essaouira-Essaouira_Marrakech_Safi.html,cd37973f-dc63-458a-8650-2d62da023a89
31,4.3,32. Rahba Kedima Square,Reviews not found,Details not found,/Attraction_Review-g293734-d550588-Reviews-Rahba_Kedima_Square-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d550588-Reviews-Rahba_Kedima_Square-Marrakech_Marrakech_Safi.html,806cc2dc-3f95-4533-b40f-c6ef54055352
32,3.6,33. Marrakech Museum,Reviews not found,Details not found,/Attraction_Review-g293734-d318043-Reviews-Marrakech_Museum-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318043-Reviews-Marrakech_Museum-Marrakech_Marrakech_Safi.html,657e0445-0281-4a27-b233-22165eb5d190
33,4.5,34. M Avenue Marrakech,Reviews not found,Details not found,/Attraction_Review-g293734-d24063364-Reviews-M_Avenue_Marrakech-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d24063364-Reviews-M_Avenue_Marrakech-Marrakech_Marrakech_Safi.html,09260f2e-a0a2-47d1-8fce-ead8b7b106ed
34,4.2,35. Dar Si Said Museum,Reviews not found,Details not found,/Attraction_Review-g293734-d318049-Reviews-Dar_Si_Said_Museum-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d318049-Reviews-Dar_Si_Said_Museum-Marrakech_Marrakech_Safi.html,fb2bb236-db31-4734-be99-db7a0acf0b68
35,3.2,36. La Palmeraie,Reviews not found,Details not found,/Attraction_Review-g293734-d478126-Reviews-La_Palmeraie-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d478126-Reviews-La_Palmeraie-Marrakech_Marrakech_Safi.html,1aeb8998-0576-4305-8148-05f6c4492f5f
36,4.9,37. Centre D'art Le Real Mogador,Reviews not found,Details not found,/Attraction_Review-g298349-d16966310-Reviews-Centre_D_art_Le_Real_Mogador-Essaouira_Marrakech_Safi.html,/Attraction_Review-g298349-d16966310-Reviews-Centre_D_art_Le_Real_Mogador-Essaouira_Marrakech_Safi.html,e8d1f4f0-1702-4a19-8721-0976d8a3d113
37,4.8,38. Aromatimri,Reviews not found,Details not found,/Attraction_Review-g293734-d7360713-Reviews-Aromatimri-Marrakech_Marrakech_Safi.html,/Attraction_Review-g293734-d7360713-Reviews-Aromatimri-Marrakech_Marrakech_Safi.html,0fe05d99-c580-4f77-b96c-fa2946543d3e
